,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight
0,people,0.05518409296621799,trump,0.03532088454815349,datum,0.13481004791957246,datum,0.08512571947894577,facebook,0.06352177346240459,question,0.04546456114579508,bigdata,0.13067600323188797,facebook,0.04925549167035235,work,0.04492472797734386,social,0.04302675037938525,good,0.050907182486129854
1,delete,0.0348769307133055,leave,0.03348963680253045,privacy,0.10400066286440281,big,0.046998744969056996,page,0.03414441552364519,today,0.03362467866323907,late,0.039361702127659576,scandal,0.04722099366062214,ad,0.03364137725443434,medium,0.04118189662867855,read,0.03681211575948418
2,year,0.03245350229203772,vote,0.025332260481118727,user,0.0738679518870921,business,0.044849324158624373,follow,0.03253589916064692,watch,0.025927286081527726,ai,0.03371936439536763,company,0.03305322128851541,story,0.02908033984200328,news,0.034591007825750586,make,0.03649722597091018
3,account,0.026234342608543314,campaign,0.023487139646513694,personal,0.02364216369988814,service,0.017411751128806566,find,0.032155704383938236,time,0.024237972824091077,analytic,0.03309991920280097,change,0.03234556980687012,pay,0.01910866000894321,thing,0.03137739161484215,great,0.025820962663067926
4,friend,0.021723261993050892,election,0.022821231375378042,information,0.021681189841603027,security,0.016474084332309114,twitter,0.02980142134354985,talk,0.02182886522218142,machinelearne,0.03013735523835174,make,0.02857142857142857,report,0.016977194812937843,people,0.023060671883833726,interesting,0.021172589593642224
5,time,0.021445881631580486,amp,0.019033878083294025,law,0.020673083562343778,problem,0.014872837956751922,post,0.0267891088819349,week,0.02130003672420125,technology,0.029679504443845945,data,0.027465723131357807,target,0.01582948278431957,platform,0.019609010027672805,real,0.016254310991153098
6,back,0.01696399894887442,lie,0.01650897588857135,access,0.01938878378191761,model,0.01103561691262388,share,0.026496651361389758,answer,0.02046272493573265,marketing,0.021976838136277942,tool,0.016040100250626566,show,0.01565061857206737,stop,0.01944535364656173,article,0.015594541910331383
7,message,0.01443837776285439,government,0.014511251075164397,app,0.017690193749741068,build,0.010761529695186163,live,0.024493317345655543,open,0.01756885787734117,tech,0.020037705359547537,public,0.015818959162612414,run,0.014160083469965718,give,0.01923706370696581,happen,0.014679862048283102
8,deletefacebook,0.014248591199743059,democracy,0.013637246469298854,give,0.017165426097523924,customer,0.010660550194024898,check,0.023191881379229666,hear,0.016951891296364305,datascience,0.019862644761648264,world,0.012442871885596344,party,0.01402593531077657,internet,0.018835361680602257,lot,0.01417004048582996
9,call,0.0142193932669567,tory,0.012874226575289255,sell,0.015314929639705578,online,0.01045859119170237,video,0.019243704851870266,day,0.016070510466397354,learn,0.01715593859412874,profile,0.011912133274362377,political,0.01375763899239827,bad,0.018775850269289136,point,0.013975108711950818
10,day,0.011649975181757132,fact,0.01152853694403596,share,0.014762542637371742,base,0.010097950116126426,link,0.01887813295118884,amp,0.015600440690414984,fintech,0.01533800161594398,feature,0.011484593837535015,turn,0.011730511253540021,put,0.014520784360401107,understand,0.01364522417153996
11,send,0.011649975181757132,firm,0.010557420715296468,data,0.013188239680720313,market,0.009737309040550483,group,0.016889421811481883,start,0.015585751009915534,industry,0.015257204416913547,break,0.011440365619932183,hold,0.011417498882098674,world,0.013628113190704318,issue,0.01246063877642825
12,month,0.011036818593243599,referendum,0.010404816736494548,move,0.013022523580020161,research,0.009708457754504407,love,0.014579007399175269,plan,0.012339331619537276,future,0.014893617021276596,policy,0.010968597965501991,lead,0.011000149053510211,fake,0.012899098402118607,case,0.012370670265407108
