,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight,term,weight
0,facebook,0.07027726203147298,time,0.031173801054826443,bigdata,0.06891171960181187,amp,0.034804350910843516,datum,0.18095606913498288,make,0.08197509986296178,privacy,0.10599196512522438,people,0.09306397965173156,work,0.04384228662350173,trump,0.1367357949436341,question,0.04716554830496533
1,delete,0.04122894522058297,back,0.023785109775542743,business,0.029553855563730486,leave,0.02084444466191387,user,0.07296608255074709,good,0.046641591587213656,facebook,0.030866835721951542,news,0.031911563294854235,ad,0.03840753006129677,retweete,0.018168652803150054,today,0.03906572662737419
2,year,0.03648460954690162,put,0.018098859315589355,big,0.027625852088892042,love,0.02036492457344731,give,0.043598928582954145,thing,0.03799652058975032,change,0.026170327948257684,lie,0.023977695167286244,election,0.02919624072041676,family,0.01574080208993933,medium,0.03842920794725155
3,post,0.03207438201925417,man,0.01462038513430639,analytic,0.021793087553518716,free,0.01948417339054954,company,0.03896564918929136,read,0.030022062182309434,issue,0.01760834259338405,story,0.018132459401291334,pay,0.028079575571392287,call,0.01526753684369942,social,0.0376420627092373
4,twitter,0.03125820354822851,show,0.014389795167423034,learn,0.01867725665050394,conservative,0.01918569660078974,data,0.033719209438059276,bad,0.024730054134958355,protect,0.01584180984129698,fake,0.016929172373312464,campaign,0.027168990256737132,child,0.01321829832748062,watch,0.03712701705967241
5,account,0.030609079150219796,start,0.014065987979884705,tech,0.018646231307230678,call,0.01666576960527668,information,0.027652149057899856,great,0.024273260051899583,law,0.015233970614772392,care,0.015266092741146547,money,0.021710270923093883,break,0.011983076034794461,live,0.027394597851385035
6,friend,0.030465889944776697,turn,0.012790383907764014,ai,0.01789275868488002,group,0.014713437816519957,sell,0.027177295547902578,time,0.024244102982768172,security,0.014725855011349497,report,0.015212287223635296,vote,0.020310845071097542,president,0.011505078136092153,talk,0.021617340518058182
7,page,0.024738321727052738,guy,0.011701214276953269,machinelearne,0.015991348361418654,hate,0.014644934946739019,share,0.02714041372188337,feel,0.01745536538667133,service,0.014236734383755497,fact,0.013676384269223244,run,0.018729302156170174,supporter,0.011386761824532177,hear,0.02097596291671323
8,follow,0.02306778099688325,bring,0.011421562614988348,technology,0.015942594250560674,stop,0.014522608393558773,personal,0.025314763333932663,problem,0.01688680253860882,control,0.013372462983540853,real,0.01286930150655449,political,0.016218003709437018,policy,0.011344167952370586,testimony,0.020383174527591384
9,check,0.022585710671891482,play,0.01139212559793941,marketing,0.014440081197755538,woman,0.011425300067034952,access,0.018722136932999553,answer,0.016843066934911704,scandal,0.013348719263754737,world,0.012751907650166308,russian,0.014449551177290961,end,0.010586943558386734,hearing,0.020349162079035213
10,find,0.02125882403478543,wait,0.010852446952042193,late,0.013908218170213897,platform,0.011337224948745174,app,0.01622339322019833,happen,0.01627450408684919,tool,0.012213769457978365,power,0.010785560555664254,target,0.013740253142717474,country,0.010482825204213954,day,0.019586311447132507
11,video,0.015001455756922005,team,0.009135287624187416,datascience,0.011492673586795614,speech,0.011288294327473075,info,0.014950970222535718,lot,0.014957576464413798,trust,0.011586935255624887,remember,0.010301310898063002,state,0.012733816742309148,action,0.010340845630341981,week,0.018361863299110333
12,deletefacebook,0.014796217895786896,fire,0.008747700233043052,future,0.009032807084415527,content,0.010945779978568389,collect,0.013480307410019871,understand,0.014588253588749258,online,0.009948618590382844,deal,0.009479553903345725,win,0.011502130290380864,sign,0.009744531420079697,join,0.014027705568809614
13,message,0.013526606940858086,shit,0.008659389181896234,hire,0.008695960500305822,liberal,0.0106032656296637,private,0.013314339192933441,long,0.014427889708526499,history,0.009853643711238378,wrong,0.008496380356094698,voter,0.01147816751894257,hold,0.009720868157767702,testify,0.013677863240803277
14,send,0.013369098814870676,sound,0.008639764503863608,industry,0.008500944056873886,open,0.009512112775295909,scandal,0.012613584498568524,job,0.011794034463655713,concern,0.009711181392521678,hand,0.008109958912150264,steal,0.010519656661410833,kid,0.009186078429516607,face,0.013002473190902156
15,ago,0.012023120283705545,lol,0.008561265791733105,fintech,0.007951352261747525,agree,0.009394679284242872,firm,0.011945101401970411,interesting,0.011541339864516819,update,0.009701683904607232,continue,0.007904519663470945,government,0.010466938564246587,support,0.008779070317750286,senator,0.012336800983445655
16,phone,0.011383541832726371,full,0.008129522875015331,market,0.007282091285424294,support,0.009340855600843564,include,0.010589694295764583,article,0.01141499256494737,set,0.009563970329847755,leader,0.007488749755429466,base,0.010457353455671269,order,0.008017113271304036,listen,0.011826614255103082
17,share,0.011011249898574313,head,0.0078008095179688455,apply,0.007047185114926736,black,0.009272352731062626,profile,0.009414086091402386,hard,0.010428511726001302,rule,0.009540226610061639,true,0.0072833105067501465,buy,0.01019376296985004,high,0.00788459900235686,start,0.01111721175664579
18,month,0.011006476925059542,office,0.007648718263215994,cybersecurity,0.0069984310040687525,community,0.008846656325995371,breach,0.008708721168785067,idea,0.010112643477077684,regulation,0.009473744194660513,show,0.006769712385051849,employee,0.007835826260321964,parent,0.006942801162339445,network,0.009994800954292128
19,tweet,0.010920563401793683,stupid,0.006863731141910953,drive,0.006803414560636817,word,0.008827084077486532,party,0.00860729614723225,part,0.009694725486194128,feature,0.009421508011131056,truth,0.006319702602230483,spend,0.007663294305966251,stop,0.006857613418016262,congressional,0.009465178541060314
20,day,0.010720098514173345,catch,0.006500674598307371,developer,0.006617262500997243,block,0.00832799174051113,public,0.007325652693064834,big,0.009417733329445723,term,0.009293291924286027,file,0.0062952455488162785,hack,0.007217586757213993,racist,0.006232903292979583,member,0.008405933714596685
21,link,0.010634184990907486,lawyer,0.006167055071752729,daily,0.006608398117204883,censor,0.008122483131168316,million,0.007325652693064834,fix,0.009373997725748607,internet,0.00905585472642486,attack,0.005967521033065936,advertising,0.0069300334999544706,stand,0.006119319633882006,late,0.007725684743473254
22,email,0.00986573625502952,interview,0.006059119342573286,deeplearne,0.006581804965827801,life,0.007985477391606441,advertiser,0.006896901465591561,human,0.008688806601160452,platform,0.00869495018567589,source,0.005708276266875367,propaganda,0.0059379747624091215,class,0.006034131889558822,begin,0.007691672294917082
23,comment,0.009698682182012572,mind,0.006054213173065129,blockchain,0.006533050854969817,stay,0.007926760646079924,reveal,0.00647276046637069,create,0.008436112002021557,date,0.008486005451558063,rich,0.005546859714341616,attention,0.0059188045452584865,kill,0.0058637564009124555,expect,0.007584776028026257
24,add,0.009402757824096834,mueller,0.005563596222249479,model,0.006426678249461489,view,0.007789754906518048,expose,0.006219197912488647,point,0.008197995937448369,product,0.00843851801198583,war,0.005517511250244571,mercer,0.005616873625135989,administration,0.005797499266438869,meet,0.00720092125146375
25,photo,0.009154563201328797,cover,0.0055292530356923835,strategy,0.0062759837249913575,place,0.007716358974609901,profit,0.0059840762716162075,world,0.008159119845273153,track,0.00839577931637082,prove,0.005434357268636275,result,0.005592910853697695,school,0.005769103351664474,event,0.007118319590684476
26,number,0.008419525280054222,person,0.005485097510118974,bitcoin,0.006138585776209767,reason,0.007677214477592222,leak,0.005887261478315791,pretty,0.008008474988094197,clear,0.008163090862466877,person,0.00540990021522207,lead,0.005516229985095157,illegal,0.005712311522115685,hour,0.0066810166806765565
27,list,0.008157011736741873,piece,0.005460566662578192,iot,0.00604994193828616,matter,0.006943255158510748,device,0.005670580750452955,step,0.007979317918962786,public,0.007954146128349052,fail,0.004984347485814909,ca,0.005487474659369204,retweeted,0.005603460515480507,lawmaker,0.006564402571341111
28,picture,0.006973314305078921,book,0.005431129645529253,intelligence,0.005846061111061864,censorship,0.006727960424913515,detail,0.005407797740066111,move,0.007619714066342051,setting,0.007218090814979438,american,0.004930541968303659,investigate,0.005487474659369204,plan,0.005504074813770125,explain,0.006486659831784147
29,feed,0.006706027788251803,eye,0.005406598797988471,brand,0.005832764535373324,speak,0.0067230673627863054,large,0.0053017624902608924,important,0.007469069209163095,announce,0.0072085933270649915,spread,0.004651731559381726,release,0.005458719333643252,official,0.005489876856382928,discuss,0.006481800910561837
30,hit,0.006214411516230496,home,0.005362443272415062,trend,0.005682070010903192,pro,0.006576275498970011,collection,0.00492833400181643,easy,0.007303845817418433,consumer,0.007199095839150545,wear,0.004641948738016044,spy,0.005314942705013491,cut,0.005447282984221337,minute,0.006297161904114048
31,miss,0.005966216893462458,special,0.005347724763890592,top,0.0053718165781705685,point,0.006356087703245568,affect,0.004780806697739605,decision,0.00662837371587408,offer,0.006885678737973806,suit,0.004607708863236157,tie,0.005314942705013491,border,0.005158591184014993,worth,0.006297161904114048
32,remove,0.00570370335015011,fuck,0.005303569238317184,machine,0.005212257669908077,ban,0.006077183161994608,suspend,0.004527244143857563,connect,0.006307645955428561,company,0.006643492796155417,press,0.004524554881627861,accord,0.005305357596438173,american,0.0051207299643158,age,0.0059521784973300225
33,receive,0.005379141151145753,literally,0.004930700355697289,solution,0.00512804602388065,anti,0.005896139863287844,consent,0.004361275926771134,huge,0.006288207909340953,build,0.006638744052198194,lose,0.004485423596165134,influence,0.005113655424931826,immigrant,0.00502134426260542,grill,0.005655784302769099
34,secret,0.005293227627879893,real,0.004886544830123881,customer,0.005070427529230305,decide,0.005627021446291304,facebook,0.0043474452420139325,write,0.0058654304069354945,policy,0.006596005356583183,pull,0.004416943846605361,dollar,0.004965086242014406,crime,0.004992948347831026,game,0.005529452350989034
35,twitt,0.005226405998673114,finally,0.004847295474058629,system,0.004870978893902191,silk,0.005592770011400835,harvest,0.004329004329004329,statement,0.005753661641931753,case,0.006206608352090872,government,0.004309332811582861,create,0.004955501133439089,demand,0.004690058590237484,stock,0.005490580981210551
36,visit,0.005021168137538005,joke,0.00481785845700969,design,0.004857682318213649,diamond,0.005475336520347799,massive,0.00421835885094671,stuff,0.0055738597156213855,recent,0.006182864632304755,close,0.004294658579534338,involve,0.004931538362000796,water,0.004548079016365512,yesterday,0.00545170961143207
37,search,0.004973438402390305,drop,0.004783515270452594,alt,0.004786767247874764,opinion,0.0053236515944042944,store,0.004172256568422702,funny,0.005117065632562615,website,0.0060688947773313955,billionaire,0.004108784973586382,test,0.004639192550453615,fight,0.004429762704805535,ready,0.00544685069020976
38,hospital,0.004796838382343817,write,0.004729547405862873,mining,0.0046449371071969935,side,0.00514750135782474,admit,0.0041169338293938935,thread,0.005102487097996909,plan,0.005992914874015823,surprise,0.004064762277440814,fund,0.004538548910412782,executive,0.0043635055703319485,tomorrow,0.005422556084098209
39,patient,0.004739562700166577,dumb,0.004611799337667116,cloud,0.0045917508044428295,choose,0.0045407616540507215,sharing,0.004093882688131889,folk,0.005063611005821695,address,0.00593118120257192,wake,0.003981608295832518,effort,0.004389979727495363,tax,0.004207328039072779,note,0.005116444047092664
40,instagram,0.004653649176900717,kind,0.004538206795044769,deeplearning,0.004467649431349779,voice,0.004452686535760944,record,0.004066221318617485,find,0.0050198754021245785,launch,0.005513291734336268,warn,0.00393758559968695,foreign,0.004375602064632387,separate,0.00420259538661038,morning,0.004990112095312599
41,meme,0.004620238362297328,guess,0.0045234882865203,build,0.004458785047557419,lead,0.004438007349379315,deep,0.003914083786288259,mistake,0.005005296867558873,protection,0.005180879657330636,hide,0.00383486597534729,research,0.004342054184618777,low,0.00405115050781361,stream,0.0049609585679787375
42,contact,0.004620238362297328,face,0.004430271065865326,challenge,0.0043878699772185335,standard,0.004379290603852797,misuse,0.003900253101531057,sense,0.004669990572547648,site,0.0050336685946567135,fall,0.0038006261005674035,investigation,0.004337261630331117,elect,0.004013289288114417,meeting,0.004684000058307054
43,site,0.004467503209824688,room,0.004405740218324543,science,0.004316954906879648,strong,0.0042080334294004535,maker,0.0038864224167738546,responsibility,0.00465055252646004,practice,0.005005176130913373,stop,0.0037468205830561534,charge,0.0043276765217558,immigration,0.003965962763490426,internet,0.004649987609750883
44,cool,0.00432431400438159,line,0.004391021709800074,digital,0.004272632987917845,show,0.004036776254948109,chinese,0.003840320134249847,grow,0.004611676434284825,require,0.00487221130011112,imagine,0.0037272549403247895,claim,0.0039155168530171525,lawsuit,0.003918636238866435,hot,0.004596539476305471
45,notice,0.004252719401660041,suck,0.004238930455047222,sale,0.004263768604125484,people,0.0039242358260222834,scrape,0.003840320134249847,zuck,0.0043832793927554405,regulate,0.004743995213266091,happen,0.0036685580121306985,student,0.0039011391901541763,federal,0.0037103995305208756,tonight,0.004479925366970026
46,top,0.00422408156057142,young,0.00419968109898197,improve,0.003997837090354664,admit,0.003919342763895073,provide,0.0037849973952210373,explain,0.004256932093185993,health,0.004682261541822188,fear,0.0036636666014478575,promote,0.00381487321297632,trade,0.003653607700972087,ahead,0.004416759391079992
47,click,0.0040665734345840115,mention,0.004145713234392248,robot,0.003997837090354664,bias,0.003914449701767863,confirm,0.003632859862891812,life,0.004232634535576484,fine,0.0045967841505921685,realize,0.0036587751907650166,audience,0.0037909104415380264,military,0.0036204791337352935,speak,0.0043147220454114775
48,music,0.003994978831862462,anymore,0.0041064638783269965,startup,0.00394021859570432,version,0.003904663577513444,amount,0.0034346200480385785,level,0.004101427724485135,violate,0.004554045454977159,shut,0.0035315985130111526,deep,0.0037765327786750506,nation,0.0035778852615737018,happy,0.004305004202966857
49,follower,0.0037992869177568933,jail,0.003870967741935484,altcoin,0.003922489828119598,review,0.003806802334969247,report,0.003397738222019372,amazing,0.004081989678397528,major,0.004539799223105489,corrupt,0.0035218156916454707,candidate,0.003709437018647829,seek,0.003525826084487312,apology,0.0041786722511867914
50,recently,0.0037801950236978133,damn,0.003861155402919171,key,0.0038648713334692537,fan,0.0037676578379515686,medical,0.003337805254738162,simple,0.0040382540747004115,risk,0.004454321831875469,die,0.003492467227548425,lose,0.0035464901728674333,blame,0.003502162822175316,video,0.004134941960186
51,reach,0.0037658761031535036,forget,0.003851343063902858,cryptocurrency,0.0038515747577807127,respect,0.0036208659741352738,compromise,0.0032640416026997496,difference,0.003819576056214829,due,0.004278618305458206,serve,0.003487575816865584,dem,0.0035464901728674333,evil,0.0034501036450889267,seat,0.004110647354074448
52,youtube,0.003722919341520574,boy,0.003782656690788667,opportunity,0.0038116850307150897,hope,0.0036208659741352738,gather,0.0032179393201757418,fast,0.0036835097336015785,safe,0.004250125841714867,democracy,0.00346801017413422,collusion,0.003441053978538942,gun,0.0032749955039801607,sit,0.004086352747962897
53,log,0.003718146368005804,politician,0.0037532196737397275,project,0.0037983884550265488,dangerous,0.0035376839179727063,purpose,0.003125734755127726,short,0.0036008980377292476,web,0.004093417291126497,ignore,0.003438661710037175,whistleblower,0.003402713544237672,legal,0.0032418669367433673,early,0.00391629050518204
54,close,0.0033840382219719064,ass,0.0036747209616092235,machinelearning,0.003749634344168565,mine,0.0035327908558454965,researcher,0.003093463157360921,laugh,0.0035182863418569167,promise,0.004045929851554264,compare,0.003433770299354334,program,0.003402713544237672,baby,0.0032229363268937708,front,0.003857983450514317
55,respond,0.0033601733543980566,crazy,0.0036060345884950324,infographic,0.003709744617102942,police,0.0035278977937182867,gain,0.0030104790488177068,exist,0.003430815134462684,important,0.004007939899896477,simply,0.003428878888671493,connection,0.0033835433270870377,defend,0.0031898077596569773,podcast,0.003794817474624284
56,text,0.003250394963558347,chance,0.00358150374095425,software,0.003665422698141139,remain,0.0034545018618101393,permission,0.002922884712022092,small,0.0034162365998969785,relationship,0.003879723813051448,bot,0.003423987477988652,conspiracy,0.003378750772799379,pre,0.0031519465399577847,moment,0.0037705228685127328
57,image,0.0032408490165288075,deserve,0.003571691401937937,token,0.003656558314348778,push,0.0034545018618101393,abuse,0.0028306801469740765,solve,0.0032850297888056294,provide,0.003836985117436438,false,0.0033897476032087653,troll,0.0033020699041968397,law,0.0031519465399577847,conversation,0.003678203365288839
58,blog,0.0032313030694992675,single,0.003512817367840059,signal,0.003590075435906073,continue,0.0033028169358666347,canadian,0.002821459690469275,mess,0.0032850297888056294,effect,0.0038132413976503213,completely,0.0033799647818430834,director,0.003124745395553468,protest,0.003057293490709803,light,0.003600460625731875
59,download,0.0032265300959844973,girl,0.0034196001471850854,robotic,0.00355018570884045,lady,0.003297923873739425,knowledge,0.0027615267231880652,deletefacebook,0.0032801702772837275,study,0.0037230152624630787,resist,0.0033261592643318333,team,0.003095990069827516,attack,0.0030005016611610144,prepare,0.003537294649841842
60,request,0.0031883463078663378,mark,0.003360726113087207,organization,0.00355018570884045,form,0.003263672438848956,agreement,0.0027523062666832635,common,0.003182980046845691,move,0.0036280403833186124,rest,0.0032527881040892194,operation,0.0030864049612521986,national,0.0029721057463866197,movie,0.0034352573041733273
61,publish,0.0029258327645539893,computer,0.0033558199435790507,trading,0.003341872689719974,true,0.0032294210039584873,individual,0.0026508812451304462,fun,0.0031684015122799857,impact,0.0034665830887730194,treat,0.0031696341224809236,total,0.0030720272983892224,threaten,0.002962640441461822,tough,0.003401244855617156
62,couple,0.00286855708237675,talk,0.0032773212314485467,decentralize,0.003328576114031433,thought,0.0031902765069408085,quiz,0.0025632869083348315,thought,0.0030274756781448328,european,0.0034380906250296795,fool,0.003145177069066719,client,0.0030672347441015636,center,0.0029247792217626293,pm,0.003143722030834714
63,doctor,0.0027874165326256606,evidence,0.0032773212314485467,dataanalytic,0.003301982962654351,responsible,0.0031462389477959203,match,0.002388098234743602,powerful,0.002998318609013422,marketer,0.0034238443931580097,poor,0.003062023087458423,enter,0.0030432719726632704,shoot,0.0028821853496010376,conference,0.0029979543941654075
64,mission,0.0027396867974779607,idiot,0.003144854654728321,leadership,0.0032798220031734493,quit,0.003116880575032661,steal,0.0022866732131907853,space,0.0028865498440096803,limit,0.00330987453818465,fight,0.0030228918019956958,manipulate,0.002990553875499025,bill,0.002863254739751441,media,0.0029930954729430973
65,past,0.0025392219098576223,hope,0.0031399484852201644,insight,0.0032310678923154657,apologize,0.0031119875129054513,model,0.0022774527566859835,credit,0.00283309521726876,surveillance,0.0032956283063129803,act,0.002978869105850127,staff,0.0028515698011569225,wall,0.002787532300353056,committee,0.002983377630498477
66,tip,0.0025010381217394624,chief,0.0031301361462038515,manage,0.0032133391247307443,heart,0.0030826291401421925,billion,0.0022774527566859835,bit,0.002813657171181153,current,0.003248140866740747,forget,0.002978869105850127,cost,0.002813229366855653,return,0.0027733343429658585,remind,0.0029542241031646154
67,pic,0.0024580813601065327,throw,0.0030712621121059733,global,0.003089237751637695,basically,0.0030434846431245137,assume,0.0022636220719287814,eat,0.002706747917699313,ethic,0.003233894634869077,break,0.002978869105850127,donate,0.002784474041129701,victim,0.0027118098609546708,night,0.0029299294970530645
68,mom,0.002453308386591763,liar,0.003066355942597817,enterprise,0.0030626446002606127,nee,0.0029896609597252054,discover,0.002245181158919178,topic,0.0026727313370460003,regard,0.0031769097073823973,country,0.0029690862844844452,direct,0.0027796814868420424,prison,0.0026976119035674734,zuckerberg,0.0029299294970530645
69,full,0.002434216492532683,figure,0.0030369189255488776,innovation,0.003000593913714088,night,0.0029847678975979956,obtain,0.001982398148532334,scary,0.0026144171987831782,activity,0.003167412219467951,threat,0.0028957151242418313,politic,0.002765303823979066,death,0.002688146598642675,discussion,0.0028861992060522723
70,survey,0.0023817137838702132,smart,0.0030271065865325646,scientist,0.002942975419063744,case,0.0029113719656898482,actor,0.001973177692027532,excellent,0.0025318055029108473,lack,0.003157914731553504,criminal,0.0028321267853648993,democracy,0.0027461336068284312,court,0.00266448333633068,panel,0.002871622442385342
71,suggest,0.0023673948633259035,trouble,0.00296332638292653,develop,0.002920814459582842,agenda,0.0028820135929265894,flag,0.001917854952998723,waste,0.002522086479867044,option,0.003096181060109601,corporate,0.0028272353746820584,fraud,0.002707793172527162,pass,0.00261242415924429,investor,0.002857045678718411
72,notification,0.0023483029692668235,fucking,0.002933889365877591,artificial,0.00288978911630958,unsafe,0.00286733440654496,exploit,0.001894803811736719,card,0.0025075079453013385,gdpr,0.0030012061809651346,white,0.0027929954999021717,presidential,0.002707793172527162,destroy,0.002607691506781891,birthday,0.0028473278362737904
73,button,0.002295800260604354,beat,0.002884827670796026,mobile,0.002863195964932498,absolutely,0.0028624413444177503,reportedly,0.001894803811736719,longer,0.0025075079453013385,transparency,0.0028634926062056586,hell,0.002773429857170808,clean,0.002703000618239503,accuse,0.002593493549394694,host,0.002774444017939137
74,socialmedia,0.0022051137638237246,half,0.002776891941616583,management,0.002805577470282153,truth,0.002749900915491924,inform,0.0018440913009603105,train,0.0024443342955166145,identity,0.0028350001424623187,suppose,0.0027245157503423987,directly,0.0026550750753629162,document,0.002593493549394694,walk,0.002750149411827586
75,active,0.0020905623994692452,role,0.0027719857721084265,analysis,0.0027701199351127105,response,0.002671611921456567,harvesting,0.0017196151381454895,correct,0.0024103177148633017,apple,0.002792261446847309,force,0.0026756016435139896,staffer,0.0026071495324863293,sue,0.0025698302870826983,interested,0.0027404315693829655
76,copy,0.0020762434789249355,tv,0.0027621734330921135,success,0.0027701199351127105,shut,0.0026422535486933076,revelation,0.0017150049098930888,situation,0.0023957391802975963,roll,0.0027732664710184156,reason,0.0026756016435139896,doubt,0.0025688090981850595,accountable,0.002536701719845905,enjoy,0.002730713726938345
77,server,0.0020666975318953955,attorney,0.0027621734330921135,expert,0.0027169336323585465,wing,0.0025982159895484194,opt,0.001691953768631085,basic,0.0023763011342099894,recognition,0.002759020239146746,attempt,0.0026609274114654667,focus,0.002549638881034425,summit,0.002470444585372318,tune,0.002482908744600524
78,traffic,0.002009421849718156,open,0.0027621734330921135,experience,0.0026637473296043826,maga,0.0024416380014777046,bug,0.0016596821708642795,super,0.0023714416226880875,prevent,0.002754271495189522,strike,0.002558207787125807,fair,0.00253046866388379,claim,0.002413652755823529,communication,0.002444037374822042
