Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0,"facebook, delete, year, post, twitter, account, friend, page, follow, check",48789,0.1425
1,"time, back, put, man, show, start, turn, guy, bring, play",29016,0.0847
2,"bigdata, business, big, analytic, learn, tech, ai, machinelearne, technology, marketing",35198,0.1028
3,"amp, leave, love, free, conservative, call, group, hate, stop, woman",25312,0.0739
4,"datum, user, give, company, data, information, sell, share, personal, access",30742,0.0898
5,"make, good, thing, read, bad, great, time, feel, problem, answer",27499,0.0803
6,"privacy, facebook, change, issue, protect, law, security, service, control, scandal",28094,0.0821
7,"people, news, lie, story, fake, care, report, fact, real, world",25119,0.0734
8,"work, ad, election, pay, campaign, money, vote, run, political, russian",29070,0.0849
9,"trump, retweete, family, call, child, break, president, supporter, policy, end",29596,0.0864
10,"question, today, medium, social, watch, live, talk, hear, testimony, hearing",33965,0.0992
