,Topic_Num,Topic_Perc_Contrib,Keywords,clean_text,Unnamed: 0,created_at2,id,created_at,user.screen_name,user_location,coordinates,text,full_text,retweet_created_at,retweet_full_text,texto_completo,ubicacion_encontrada
0,0.0,0.2802,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," 
 nycacc
 dogsoftwitter
rocky
 attention
every  whos interested in
 fostering  for no costs to u  or
 adopting a  dog on  deathrow
not being w  facebook
mail
helpdogs usernameremoved  or
mustlovedogsnyc usernameremoved 
they contact  rescues  amp   guide u
 linkremoved ",559512,2018-04-30,id-991089497155821568,Mon Apr 30 22:58:44 +0000 2018,MIMI_A1067931,GERMANY,,".
#NYCACC
#DogsOfTwitter
ROCKY
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u) OR
#ADOPTING A #DOG ON #DEATHROW
NOT BEING W #FACEBOOK
MAIL
helpdogs<usernameremoved> OR
MustLoveDogsNYC<usernameremoved>
THEY CONTACT #RESCUES &amp; #GUIDE U
<linkremoved>",".
#NYCACC
#DogsOfTwitter
ROCKY
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u) OR
#ADOPTING A #DOG ON #DEATHROW
NOT BEING W #FACEBOOK
MAIL
helpdogs@urgentpodr.org OR
MustLoveDogsNYC@gmail.com
THEY CONTACT #RESCUES &amp; #GUIDE U
https://t.co/zWh8ktiEPF",,,".
#NYCACC
#DogsOfTwitter
ROCKY
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u) OR
#ADOPTING A #DOG ON #DEATHROW
NOT BEING W #FACEBOOK
MAIL
helpdogs<usernameremoved> OR
MustLoveDogsNYC<usernameremoved>
THEY CONTACT #RESCUES &amp; #GUIDE U
<link removed>",Germany
1,0.0,0.2776,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," nycacc
 dogsoftwitter
capone  vid
 attention
every  whos interested in
 fostering  for no costs to u or  adopting a  dog on  deathrow not being w
 facebook mail
helpdogs usernameremoved  or
mustlovedogsnyc usernameremoved 
they contact  rescues  amp   guide u
 linkremoved ",565365,2018-04-30,id-990774820777406464,Mon Apr 30 02:08:19 +0000 2018,MIMI_A1067931,GERMANY,,"#NYCACC
#DogsOfTwitter
CAPONE #VID
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u)OR #ADOPTING A #DOG ON #DEATHROW NOT BEING W
#FACEBOOK MAIL
helpdogs<usernameremoved> OR
MustLoveDogsNYC<usernameremoved>
THEY CONTACT #RESCUES &amp; #GUIDE U
<linkremoved>","#NYCACC
#DogsOfTwitter
CAPONE #VID
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u)OR #ADOPTING A #DOG ON #DEATHROW NOT BEING W
#FACEBOOK MAIL
helpdogs@urgentpodr.org OR
MustLoveDogsNYC@gmail.com
THEY CONTACT #RESCUES &amp; #GUIDE U
https://t.co/dcgPFwNvMh",,,"#NYCACC
#DogsOfTwitter
CAPONE #VID
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u)OR #ADOPTING A #DOG ON #DEATHROW NOT BEING W
#FACEBOOK MAIL
helpdogs<usernameremoved> OR
MustLoveDogsNYC<usernameremoved>
THEY CONTACT #RESCUES &amp; #GUIDE U
<link removed>",Germany
2,0.0,0.273,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," usernameremoved  i can t wait for the following  
calling fidget spinner
calling dead grandma
calling satan
calling god
calling michael from gta v
calling franklin from gta v
calling trevor from gta v
calling pewdiepie
calling trollzous
calling durv
facetiming durv
calling mark zuckerberg",377905,2018-04-13,id-984906143129620480,Fri Apr 13 21:28:17 +0000 2018,StarkieJake,"England, United Kingdom",,"<usernameremoved> I can't wait for the following :
Calling Fidget Spinner
Calling Dead Grandma
Calling Satan
Calling God
Calling Michael from GTA V
Calling Franklin from GTA V
Calling Trevor from GTA V
Calling PewDiePie
Calling Trollzous
Calling Durv
Facetiming Durv
Calling Mark Zuckerberg","@DurvTM I can't wait for the following :
Calling Fidget Spinner
Calling Dead Grandma
Calling Satan
Calling God
Calling Michael from GTA V
Calling Franklin from GTA V
Calling Trevor from GTA V
Calling PewDiePie
Calling Trollzous
Calling Durv
Facetiming Durv
Calling Mark Zuckerberg",,,"<usernameremoved> I can't wait for the following :
Calling Fidget Spinner
Calling Dead Grandma
Calling Satan
Calling God
Calling Michael from GTA V
Calling Franklin from GTA V
Calling Trevor from GTA V
Calling PewDiePie
Calling Trollzous
Calling Durv
Facetiming Durv
Calling Mark Zuckerberg",United Kingdom
3,0.0,0.2689,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," 
 nycacc
 dogsoftwitter
atlas  vid
 attention
every  whos interested in
 fostering  for no costs to u or
 adopting a  dog on  deathrow
not being w  facebook
mail
helpdogs usernameremoved  or
mustlovedogsnyc usernameremoved 
they contact  rescues  amp   guide u
 linkremoved ",559426,2018-04-30,id-991090010781880321,Mon Apr 30 23:00:46 +0000 2018,MIMI_A1067931,GERMANY,,".
#NYCACC
#DogsOfTwitter
ATLAS #VID
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u)OR
#ADOPTING A #DOG ON #DEATHROW
NOT BEING W #FACEBOOK
MAIL
helpdogs<usernameremoved> OR
MustLoveDogsNYC<usernameremoved>
THEY CONTACT #RESCUES &amp; #GUIDE U
<linkremoved>",".
#NYCACC
#DogsOfTwitter
ATLAS #VID
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u)OR
#ADOPTING A #DOG ON #DEATHROW
NOT BEING W #FACEBOOK
MAIL
helpdogs@urgentpodr.org OR
MustLoveDogsNYC@gmail.com
THEY CONTACT #RESCUES &amp; #GUIDE U
https://t.co/cQMJ6qnmru",,,".
#NYCACC
#DogsOfTwitter
ATLAS #VID
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u)OR
#ADOPTING A #DOG ON #DEATHROW
NOT BEING W #FACEBOOK
MAIL
helpdogs<usernameremoved> OR
MustLoveDogsNYC<usernameremoved>
THEY CONTACT #RESCUES &amp; #GUIDE U
<link removed>",Germany
4,0.0,0.2672,"people, delete, year, account, friend, time, back, message, deletefacebook, call",apparently all my friends are talking about me reactivating my  facebook account    i deleted my account just under two years ago and haven t been back since   so whoever sees me on facebook  it is not me     usernameremoved  is a fucking joke these days    furious  linkremoved ,773686,2018-06-01,id-1002645439836016640,Fri Jun 01 20:17:55 +0000 2018,WendyLatto,Scotland,,"Apparently all my friends are talking about me reactivating my #facebook account... I deleted my account just under two years ago and haven't been back since.. So whoever sees me on Facebook, it IS NOT ME!!! <usernameremoved> is a fucking joke these days   #furious <linkremoved>","Apparently all my friends are talking about me reactivating my #facebook account... I deleted my account just under two years ago and haven't been back since.. So whoever sees me on Facebook, it IS NOT ME!!! @facebook is a fucking joke these days   #furious https://t.co/iJd6O4fxOS",,,"Apparently all my friends are talking about me reactivating my #facebook account... I deleted my account just under two years ago and haven't been back since.. So whoever sees me on Facebook, it IS NOT ME!!! <usernameremoved> is a fucking joke these days   #furious <link removed>",United Kingdom
5,0.0,0.2672,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," 
 nycacc
 dogsoftwitter
fire  vid
 attention
every  whos interested in
 fostering  for no costs to u  or
 adopting a  dog on  deathrow
not being w  facebook
mail
helpdogs usernameremoved  or
mustlovedogsnyc usernameremoved 
they contact  rescues  amp   guide u
 linkremoved ",559497,2018-04-30,id-991089754711166978,Mon Apr 30 22:59:45 +0000 2018,MIMI_A1067931,GERMANY,,".
#NYCACC
#DogsOfTwitter
FIRE #VID
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u) OR
#ADOPTING A #DOG ON #DEATHROW
NOT BEING W #FACEBOOK
MAIL
helpdogs<usernameremoved> OR
MustLoveDogsNYC<usernameremoved>
THEY CONTACT #RESCUES &amp; #GUIDE U
<linkremoved>",".
#NYCACC
#DogsOfTwitter
FIRE #VID
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u) OR
#ADOPTING A #DOG ON #DEATHROW
NOT BEING W #FACEBOOK
MAIL
helpdogs@urgentpodr.org OR
MustLoveDogsNYC@gmail.com
THEY CONTACT #RESCUES &amp; #GUIDE U
https://t.co/QqtlzLUUIy",,,".
#NYCACC
#DogsOfTwitter
FIRE #VID
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u) OR
#ADOPTING A #DOG ON #DEATHROW
NOT BEING W #FACEBOOK
MAIL
helpdogs<usernameremoved> OR
MustLoveDogsNYC<usernameremoved>
THEY CONTACT #RESCUES &amp; #GUIDE U
<link removed>",Germany
6,0.0,0.2591,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," 
 nycacc
 dogsoftwitter

 attention
everyone whos interested in
 fostering  for no costs to u  or
 adopting a  dog on  deathrow
not being w  facebook

mail
helpdogs usernameremoved  or
mustlovedogsnyc usernameremoved 
they contact  rescues  amp   guide u

 linkremoved ",711436,2018-05-17,id-996955167617638400,Thu May 17 03:26:49 +0000 2018,MIMI_A1067931,GERMANY,,".
#NYCACC
#DogsOfTwitter

#ATTENTION
EVERYONE WHOS INTERESTED IN
#FOSTERING (for no costs to u) OR
#ADOPTING A #DOG ON #DEATHROW
NOT BEING W #FACEBOOK

MAIL
helpdogs<usernameremoved> OR
MustLoveDogsNYC<usernameremoved>
THEY CONTACT #RESCUES &amp; #GUIDE U

<linkremoved>",".
#NYCACC
#DogsOfTwitter

#ATTENTION
EVERYONE WHOS INTERESTED IN
#FOSTERING (for no costs to u) OR
#ADOPTING A #DOG ON #DEATHROW
NOT BEING W #FACEBOOK

MAIL
helpdogs@urgentpodr.org OR
MustLoveDogsNYC@gmail.com
THEY CONTACT #RESCUES &amp; #GUIDE U

https://t.co/dux0ND5AYS",,,".
#NYCACC
#DogsOfTwitter

#ATTENTION
EVERYONE WHOS INTERESTED IN
#FOSTERING (for no costs to u) OR
#ADOPTING A #DOG ON #DEATHROW
NOT BEING W #FACEBOOK

MAIL
helpdogs<usernameremoved> OR
MustLoveDogsNYC<usernameremoved>
THEY CONTACT #RESCUES &amp; #GUIDE U

<link removed>",Germany
7,0.0,0.2591,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," usernameremoved   usernameremoved   
 lasthour
 nycacc
 dogsoftwitter
 attention
every  whos interested in
 fostering  for no costs to u or  adopting a  dog on  deathrow not being w
 facebook mail
helpdogs usernameremoved  or
mustlovedogsnyc usernameremoved 
they contact  rescues  amp   guide u",546081,2018-04-28,id-990246374754091008,Sat Apr 28 15:08:28 +0000 2018,MIMI_A1067931,GERMANY,,"<usernameremoved> <usernameremoved> .
#LASTHOUR
#NYCACC
#DogsOfTwitter
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u)OR #ADOPTING A #DOG ON #DEATHROW NOT BEING W
#FACEBOOK MAIL
helpdogs<usernameremoved> OR
MustLoveDogsNYC<usernameremoved>
THEY CONTACT #RESCUES &amp; #GUIDE U","@LesleyKempson @gaviota330 .
#LASTHOUR
#NYCACC
#DogsOfTwitter
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u)OR #ADOPTING A #DOG ON #DEATHROW NOT BEING W
#FACEBOOK MAIL
helpdogs@urgentpodr.org OR
MustLoveDogsNYC@gmail.com
THEY CONTACT #RESCUES &amp; #GUIDE U",,,"<usernameremoved> <usernameremoved> .
#LASTHOUR
#NYCACC
#DogsOfTwitter
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u)OR #ADOPTING A #DOG ON #DEATHROW NOT BEING W
#FACEBOOK MAIL
helpdogs<usernameremoved> OR
MustLoveDogsNYC<usernameremoved>
THEY CONTACT #RESCUES &amp; #GUIDE U",Germany
8,0.0,0.2573,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," 
 nycacc
 dogsoftwitter
mayback  vid
 attention
every  whos interested in
 fostering  for no costs to u  or
 adopting a  dog on  deathrow
not being w  facebook
mail
helpdogs usernameremoved 
mustlovedogsnyc usernameremoved 
they contact  rescues  amp   guide u
 linkremoved ",559504,2018-04-30,id-991089344436940800,Mon Apr 30 22:58:07 +0000 2018,MIMI_A1067931,GERMANY,,".
#NYCACC
#DogsOfTwitter
MAYBACK #VID
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u) OR
#ADOPTING A #DOG ON #DEATHROW
NOT BEING W #FACEBOOK
MAIL
helpdogs<usernameremoved>
MustLoveDogsNYC<usernameremoved>
THEY CONTACT #RESCUES &amp; #GUIDE U
<linkremoved>",".
#NYCACC
#DogsOfTwitter
MAYBACK #VID
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u) OR
#ADOPTING A #DOG ON #DEATHROW
NOT BEING W #FACEBOOK
MAIL
helpdogs@urgentpodr.org
MustLoveDogsNYC@gmail.com
THEY CONTACT #RESCUES &amp; #GUIDE U
https://t.co/NI6m9IVEea",,,".
#NYCACC
#DogsOfTwitter
MAYBACK #VID
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u) OR
#ADOPTING A #DOG ON #DEATHROW
NOT BEING W #FACEBOOK
MAIL
helpdogs<usernameremoved>
MustLoveDogsNYC<usernameremoved>
THEY CONTACT #RESCUES &amp; #GUIDE U
<link removed>",Germany
9,0.0,0.2573,"people, delete, year, account, friend, time, back, message, deletefacebook, call"," 
 lasthour
 nycacc
 dogsoftwitter
 attention
every  whos interested in
 fostering  for no costs to u or  adopting a  dog on  deathrow not being w
 facebook mail
helpdogs usernameremoved  or
mustlovedogsnyc usernameremoved 
they contact  rescues  amp   guide u  linkremoved ",546062,2018-04-28,id-990245709415927808,Sat Apr 28 15:05:49 +0000 2018,MIMI_A1067931,GERMANY,,".
#LASTHOUR
#NYCACC
#DogsOfTwitter
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u)OR #ADOPTING A #DOG ON #DEATHROW NOT BEING W
#FACEBOOK MAIL
helpdogs<usernameremoved> OR
MustLoveDogsNYC<usernameremoved>
THEY CONTACT #RESCUES &amp; #GUIDE U <linkremoved>",".
#LASTHOUR
#NYCACC
#DogsOfTwitter
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u)OR #ADOPTING A #DOG ON #DEATHROW NOT BEING W
#FACEBOOK MAIL
helpdogs@urgentpodr.org OR
MustLoveDogsNYC@gmail.com
THEY CONTACT #RESCUES &amp; #GUIDE U https://t.co/ns3LocE15V",,,".
#LASTHOUR
#NYCACC
#DogsOfTwitter
#ATTENTION
EVERY1 WHOS INTERESTED IN
#FOSTERING (for no costs to u)OR #ADOPTING A #DOG ON #DEATHROW NOT BEING W
#FACEBOOK MAIL
helpdogs<usernameremoved> OR
MustLoveDogsNYC<usernameremoved>
THEY CONTACT #RESCUES &amp; #GUIDE U <link removed>",Germany
